age,gender,tenure_months,monthly_spend,visits_per_month,contract_type,support_tickets,churn
55,Male,33,99.19,9.74,annual,0,0
53,Male,45,106.43,5.52,monthly,2,0
24,Male,47,106.4,10.15,quarterly,3,0
57,Male,34,55.04,8.34,monthly,2,0
43,Male,18,67.95,4.23,monthly,1,1
33,Male,29,84.61,7.49,monthly,0,0
42,Male,21,125.64,12.14,annual,0,0
64,Male,31,104.6,13.03,monthly,0,1
59,Female,39,97.39,10.15,quarterly,1,0
58,Male,18,67.24,4.43,quarterly,2,0
40,Female,25,57.34,9.47,monthly,2,1
55,Female,3,90.78,10.55,monthly,3,1
36,Male,36,52.99,10.18,monthly,3,1
50,Female,24,70.23,10.35,monthly,4,1
48,Male,23,72.7,9.09,quarterly,1,0
29,Male,26,106.86,7.78,monthly,3,1
30,Male,11,67.91,6.17,monthly,1,0
20,Male,29,26.22,2.31,quarterly,0,0
24,Male,36,85.09,9.02,quarterly,1,0
38,Male,17,61.02,8.56,monthly,2,0
40,Female,7,75.85,9.67,quarterly,3,0
25,Male,19,73.27,3.99,monthly,3,1
38,Female,10,69.53,9.94,quarterly,1,0
47,Female,18,90.81,14.16,monthly,2,0
29,Female,31,44.34,8.24,monthly,2,0
34,Male,6,64.66,7.82,monthly,5,0
35,Female,36,88.68,8.93,quarterly,2,0
42,Female,11,62.72,14.1,quarterly,1,0
35,Female,43,42.82,4.93,monthly,2,1
53,Male,36,88.37,8.61,annual,0,0
33,Female,14,97.46,5.6,quarterly,1,0
38,Female,28,74.1,6.36,monthly,0,0
36,Male,6,35.78,7.85,quarterly,2,0
26,Male,5,89.12,12.04,monthly,3,0
50,Male,46,41.8,13.4,annual,1,0
29,Female,39,81.18,9.34,monthly,1,0
32,Male,8,57.25,6.87,monthly,1,1
56,Male,14,51.8,15.48,monthly,4,1
63,Female,10,66.16,6.72,monthly,1,0
50,Male,19,71.33,6.29,quarterly,2,0
61,Male,14,62.12,2.68,monthly,0,0
59,Female,16,86.77,12.19,monthly,0,1
41,Female,26,66.08,10.9,monthly,0,1
54,Female,10,94.6,15.25,annual,1,0
33,Female,43,80.62,3.83,quarterly,4,1
40,Male,35,61.05,12.37,monthly,5,1
43,Female,37,57.68,8.21,monthly,3,1
64,Female,9,42.05,10.42,monthly,0,1
58,Male,34,80.81,3.06,annual,1,0
41,Male,41,67.91,12.4,quarterly,1,0
49,Male,9,27.56,10.36,quarterly,1,0
27,Male,37,64.29,7.88,annual,2,0
56,Male,18,56.98,9.94,monthly,0,0
44,Male,38,106.51,5.7,quarterly,3,0
43,Female,23,40.94,6.26,monthly,1,1
54,Male,39,46.17,6.61,monthly,2,1
48,Female,8,97.2,2.44,monthly,2,1
21,Female,19,102.14,10.59,monthly,0,0
31,Female,14,60.1,11.57,annual,0,0
26,Female,12,62.36,5.9,monthly,0,0
53,Male,15,87.32,9.04,quarterly,0,0
19,Female,19,28.46,7.2,quarterly,1,0
27,Male,7,37.78,8.98,quarterly,4,0
46,Female,34,69.39,6.12,annual,0,0
51,Male,27,106.0,5.35,monthly,0,1
42,Male,40,66.29,11.16,monthly,3,1
59,Female,34,77.02,7.81,monthly,1,0
62,Male,8,97.68,14.07,monthly,1,0
24,Female,4,117.14,8.14,annual,1,0
63,Male,21,63.46,5.22,monthly,0,0
47,Male,24,74.66,11.68,monthly,2,0
48,Female,12,111.44,9.89,monthly,1,0
22,Female,38,44.56,10.18,monthly,0,0
47,Male,28,95.55,11.57,quarterly,0,0
52,Male,36,54.63,6.04,monthly,1,0
45,Male,6,77.05,7.62,quarterly,2,0
22,Female,40,70.15,7.49,quarterly,3,0
43,Female,10,55.84,4.13,quarterly,0,0
62,Male,22,55.34,7.21,monthly,1,0
52,Male,22,80.53,12.01,quarterly,2,0
24,Male,40,94.91,8.71,monthly,1,0
64,Male,14,72.41,3.96,monthly,4,1
64,Female,12,76.4,3.33,quarterly,3,0
26,Female,17,86.42,12.99,quarterly,0,0
56,Male,18,55.57,7.73,monthly,1,0
37,Female,9,89.79,6.06,annual,4,0
46,Male,9,91.39,7.18,monthly,1,0
39,Male,12,127.07,3.57,quarterly,0,0
55,Male,23,67.48,12.27,annual,0,0
65,Male,17,65.84,6.82,monthly,1,0
56,Male,19,90.38,12.1,quarterly,1,0
62,Female,35,91.38,8.15,quarterly,1,0
63,Female,12,64.3,12.29,quarterly,2,0
22,Male,44,66.94,8.77,quarterly,0,0
30,Female,37,85.82,10.56,quarterly,3,0
52,Female,9,58.45,10.16,monthly,3,1
46,Female,16,66.79,9.87,quarterly,0,0
20,Female,9,76.79,9.04,monthly,2,0
22,Male,14,94.92,7.3,annual,2,0
42,Female,18,62.91,13.75,monthly,2,1
47,Female,7,38.15,5.28,monthly,2,1
26,Female,1,36.67,8.01,annual,1,0
26,Male,22,49.81,8.04,monthly,1,0
24,Male,34,48.74,9.21,monthly,1,0
45,Male,15,71.91,6.71,quarterly,0,0
18,Male,42,51.22,8.94,monthly,1,0
45,Male,18,60.94,7.49,monthly,2,0
40,Male,44,59.52,3.25,monthly,0,1
40,Female,12,66.19,8.03,monthly,2,0
50,Male,26,101.45,4.7,monthly,3,1
43,Female,37,88.24,2.8,monthly,5,1
52,Male,3,75.32,8.41,monthly,1,1
54,Female,45,65.78,9.46,monthly,0,0
62,Male,18,66.34,9.58,monthly,2,0
56,Female,24,81.55,9.7,quarterly,3,0
42,Male,31,86.68,2.2,quarterly,0,0
41,Male,31,56.85,3.92,monthly,1,1
29,Male,2,75.73,13.92,monthly,2,1
46,Female,42,34.37,4.86,annual,1,0
24,Male,30,79.23,9.83,quarterly,0,0
62,Female,48,90.24,5.94,monthly,0,1
58,Female,23,69.4,8.24,monthly,3,1
23,Male,30,111.33,6.1,monthly,2,0
55,Male,22,57.38,9.68,quarterly,0,0
23,Male,43,79.35,8.41,annual,1,0
52,Male,40,74.28,6.66,annual,1,0
22,Male,44,72.99,4.85,monthly,2,1
41,Male,25,72.71,8.8,monthly,2,0
49,Female,38,77.14,4.36,monthly,1,1
52,Male,18,91.96,9.28,monthly,3,1
38,Male,23,102.55,15.88,monthly,1,0
62,Female,37,74.95,12.05,quarterly,2,0
55,Female,4,91.31,10.16,monthly,1,0
27,Male,35,60.96,7.74,annual,0,0
50,Male,1,90.32,2.18,monthly,3,1
53,Male,28,59.76,4.03,monthly,2,1
34,Female,23,96.81,11.85,annual,2,0
53,Female,23,119.21,5.63,quarterly,0,0
61,Male,24,72.56,5.9,monthly,0,1
57,Male,24,31.15,7.5,quarterly,0,0
54,Male,20,64.04,4.81,monthly,1,1
48,Female,22,99.64,4.32,monthly,1,1
30,Male,28,86.06,7.85,monthly,0,0
56,Male,37,79.98,5.33,monthly,1,0
35,Male,27,95.17,5.78,quarterly,2,0
43,Male,31,84.69,5.66,monthly,0,1
33,Female,41,99.35,9.57,quarterly,1,0
33,Male,48,93.39,7.3,quarterly,2,0
25,Male,6,105.43,7.46,monthly,2,0
64,Female,35,82.18,9.79,monthly,1,0
25,Female,11,93.11,7.57,monthly,4,1
22,Male,10,68.86,7.17,quarterly,3,0
62,Male,39,62.97,9.41,quarterly,3,0
44,Female,4,109.14,10.0,quarterly,3,1
39,Male,41,79.32,7.56,monthly,3,1
53,Female,37,91.1,8.24,monthly,1,0
36,Female,48,77.47,5.65,monthly,1,1
24,Female,33,63.27,5.42,monthly,4,0
53,Male,42,75.22,10.31,quarterly,0,0
26,Female,6,103.72,9.33,monthly,2,0
44,Female,43,86.1,9.37,monthly,3,1
63,Male,8,40.77,8.84,monthly,0,0
62,Female,16,70.7,8.14,monthly,0,0
35,Female,7,110.65,10.09,quarterly,0,0
55,Female,20,70.72,10.81,monthly,3,1
47,Male,36,38.99,10.73,annual,1,0
41,Male,13,112.86,7.7,quarterly,1,0
24,Female,40,88.65,12.16,annual,1,0
36,Male,30,73.6,8.69,quarterly,3,0
49,Female,31,67.57,9.9,quarterly,3,0
65,Female,46,96.65,8.85,quarterly,2,0
18,Female,21,64.16,8.74,monthly,1,0
52,Male,17,97.97,5.79,monthly,1,1
58,Female,48,85.84,10.1,quarterly,1,0
63,Male,27,79.89,16.54,monthly,1,0
38,Female,30,77.91,6.88,monthly,1,0
23,Male,15,71.5,8.21,annual,0,0
31,Male,11,95.91,6.66,monthly,3,1
58,Female,9,57.69,6.54,monthly,0,0
60,Female,11,42.56,12.63,quarterly,0,0
48,Female,10,87.29,5.98,monthly,3,1
23,Male,36,87.62,6.58,annual,2,0
23,Female,3,84.6,3.24,monthly,1,1
40,Female,31,83.15,5.73,annual,2,0
46,Female,46,68.59,2.87,quarterly,2,0
19,Female,37,90.75,9.9,monthly,1,1
50,Male,20,74.09,16.4,monthly,2,0
44,Male,3,65.26,6.9,monthly,1,1
18,Female,41,68.76,3.0,monthly,1,1
22,Female,1,115.41,10.7,monthly,1,0
39,Male,33,40.3,5.82,annual,1,0
52,Male,33,85.0,11.9,monthly,0,0
57,Female,10,41.42,7.15,quarterly,0,0
38,Female,36,72.84,6.1,monthly,3,1
32,Male,9,66.33,7.47,annual,1,0
64,Female,11,33.3,10.27,monthly,1,1
40,Female,39,82.78,7.32,monthly,4,0
33,Male,47,67.4,6.51,quarterly,0,0
39,Male,13,33.02,7.4,monthly,0,0
18,Female,45,91.79,4.18,quarterly,3,1
32,Male,44,103.7,9.19,monthly,3,1
42,Male,37,104.8,2.64,monthly,0,1
62,Male,7,82.18,6.67,monthly,0,0
53,Female,15,75.92,10.28,quarterly,2,0
55,Male,33,101.56,8.91,monthly,1,0
44,Male,48,108.65,9.77,monthly,1,0
23,Male,40,97.67,7.8,monthly,0,0
36,Female,21,56.17,11.51,monthly,2,1
65,Female,12,79.03,10.77,monthly,0,0
20,Male,47,83.79,9.34,annual,0,0
60,Male,14,38.81,10.78,monthly,1,0
50,Male,17,84.39,10.25,quarterly,0,0
31,Female,47,120.46,6.68,monthly,3,1
55,Female,27,87.8,3.97,monthly,2,0
58,Male,13,104.47,9.26,monthly,1,1
20,Male,1,78.66,9.64,monthly,1,1
23,Female,21,73.54,11.27,monthly,1,0
49,Female,48,82.63,5.19,monthly,3,1
65,Male,21,58.68,5.28,monthly,2,0
19,Male,34,55.72,9.38,annual,3,0
49,Female,13,100.33,7.79,monthly,2,0
24,Female,38,102.45,2.34,monthly,0,0
49,Female,38,55.18,9.13,monthly,0,0
47,Male,30,94.36,2.44,monthly,1,1
22,Male,38,73.26,5.16,quarterly,1,0
50,Female,28,81.8,12.06,monthly,1,1
61,Female,19,84.2,13.47,quarterly,4,0
59,Female,36,94.89,4.35,monthly,0,1
19,Male,41,76.65,7.01,monthly,0,0
29,Female,41,103.2,8.13,annual,1,0
29,Male,11,81.19,13.34,monthly,1,0
39,Male,33,87.48,6.52,quarterly,4,0
24,Female,1,58.33,6.57,monthly,0,0
59,Female,28,118.17,12.65,annual,2,0
55,Female,28,84.4,6.88,monthly,1,0
56,Female,18,89.26,10.17,monthly,0,1
27,Male,48,42.84,3.57,quarterly,1,0
18,Female,43,58.55,7.49,monthly,3,0
61,Male,2,99.76,3.02,monthly,1,1
31,Male,11,80.74,4.83,annual,2,0
49,Female,10,36.72,10.52,quarterly,0,0
61,Female,44,95.77,7.85,quarterly,2,0
19,Female,25,64.12,7.04,quarterly,0,0
18,Male,35,103.23,5.75,quarterly,0,0
18,Female,39,73.24,7.34,annual,2,0
25,Male,37,79.09,8.9,quarterly,2,0
20,Female,5,98.58,10.95,monthly,1,0
57,Female,7,57.05,0.12,monthly,1,0
47,Female,19,55.14,5.5,quarterly,2,0
65,Male,17,71.07,8.48,quarterly,3,0
56,Male,36,91.54,7.7,monthly,1,0
64,Male,8,48.38,9.21,monthly,0,0
29,Female,18,41.64,8.8,monthly,0,0
31,Female,12,91.47,7.09,monthly,0,0
58,Male,10,62.94,6.42,quarterly,3,0
29,Female,9,67.16,7.26,monthly,2,1
20,Female,10,37.86,11.45,quarterly,2,0
50,Male,28,61.42,5.8,quarterly,2,0
56,Male,20,74.85,7.81,annual,1,0
64,Female,21,93.61,8.55,monthly,4,0
62,Female,24,59.58,12.68,annual,2,0
23,Male,36,108.15,7.1,quarterly,3,0
55,Female,42,61.31,10.88,quarterly,1,0
58,Female,26,61.34,11.7,monthly,0,0
51,Female,31,105.75,7.81,monthly,0,1
57,Female,36,79.23,7.37,quarterly,1,0
58,Female,34,63.96,7.01,monthly,0,0
39,Male,7,71.9,7.23,monthly,0,0
19,Male,48,102.06,10.56,quarterly,0,0
39,Male,8,104.32,8.69,quarterly,2,0
27,Female,20,58.66,8.71,monthly,0,0
23,Male,32,74.15,4.62,monthly,0,1
23,Male,20,76.8,5.1,monthly,0,1
51,Female,12,55.28,14.43,annual,1,0
42,Male,45,73.89,7.47,annual,2,0
43,Male,4,75.11,5.68,monthly,1,0
53,Male,12,97.8,12.29,monthly,2,0
44,Male,48,99.15,8.85,monthly,3,1
48,Male,36,68.42,9.73,monthly,1,0
22,Female,5,70.72,7.59,annual,0,0
58,Male,37,88.29,7.04,monthly,0,0
39,Male,47,63.3,7.49,monthly,2,1
25,Female,5,86.77,3.85,monthly,0,1
57,Male,20,73.24,7.74,monthly,2,1
53,Female,23,55.61,8.89,quarterly,2,0
20,Female,7,55.86,13.55,quarterly,2,0
27,Female,10,103.94,8.26,quarterly,1,0
18,Male,9,71.87,1.0,monthly,1,1
30,Male,9,107.81,7.72,annual,5,0
22,Female,20,64.73,16.22,monthly,1,0
52,Male,23,80.82,10.6,quarterly,2,0
43,Female,12,122.85,5.57,annual,0,0
65,Male,14,53.85,9.77,monthly,1,0
53,Male,10,37.04,5.77,annual,1,0
47,Female,39,100.73,3.94,monthly,2,1
42,Female,11,58.46,6.95,quarterly,0,0
20,Female,44,74.59,8.27,monthly,3,1
21,Female,26,63.28,2.38,monthly,5,1
47,Male,39,80.36,4.55,monthly,2,1
18,Female,31,55.99,8.03,monthly,6,1
20,Female,13,71.4,6.78,monthly,0,0
28,Male,29,84.0,9.18,monthly,2,0
60,Male,14,54.83,4.36,quarterly,2,0
40,Female,6,61.0,10.14,monthly,2,0
52,Male,13,68.05,4.45,monthly,3,1
37,Female,14,46.42,12.93,annual,1,0
26,Male,7,66.55,2.85,annual,0,1
35,Male,2,77.38,4.72,monthly,1,1
22,Male,46,67.01,9.25,monthly,2,0
54,Male,25,69.57,12.99,quarterly,4,0
26,Female,20,74.6,8.95,quarterly,0,0
36,Female,45,61.89,9.69,monthly,0,1
65,Female,11,88.82,8.05,quarterly,3,0
46,Female,20,103.72,4.92,monthly,0,1
40,Male,41,65.71,6.53,monthly,2,0
44,Female,31,84.7,4.36,quarterly,1,0
55,Female,20,70.21,4.16,quarterly,0,0
30,Female,13,82.31,9.21,quarterly,1,0
48,Female,2,106.32,4.63,monthly,2,1
59,Female,5,85.17,8.96,monthly,1,0
45,Female,8,39.53,4.09,monthly,0,1
39,Female,38,84.08,8.89,monthly,3,0
24,Female,31,99.66,6.53,monthly,1,0
29,Female,21,70.57,12.22,monthly,3,1
63,Male,38,94.91,8.97,monthly,2,0
43,Male,8,61.2,11.71,quarterly,3,0
32,Female,11,45.29,5.73,monthly,2,0
38,Male,19,77.82,8.17,monthly,1,0
45,Male,45,39.87,5.06,quarterly,6,0
43,Female,30,70.2,6.76,monthly,0,0
51,Female,41,100.74,7.21,annual,3,0
30,Female,12,36.8,5.82,monthly,1,0
49,Male,41,49.41,4.35,monthly,1,1
39,Male,4,54.36,3.76,annual,0,1
63,Female,11,73.73,0.98,quarterly,1,0
25,Female,26,67.69,4.83,quarterly,2,0
25,Male,3,102.98,9.88,quarterly,1,0
40,Female,42,94.09,3.2,monthly,2,1
42,Male,42,84.91,3.9,quarterly,1,0
51,Female,26,77.91,13.37,annual,0,0
37,Female,15,82.86,6.09,annual,1,0
61,Female,5,57.76,8.96,monthly,2,1
40,Female,30,92.14,9.93,monthly,1,1
24,Male,26,52.76,9.99,quarterly,1,0
23,Male,37,91.71,3.43,monthly,3,1
64,Male,29,98.72,7.31,monthly,0,0
24,Female,7,79.22,3.15,monthly,1,1
63,Female,6,71.48,15.34,monthly,2,1
31,Female,38,83.01,3.22,monthly,0,1
22,Male,8,20.0,4.86,monthly,1,1
32,Male,46,81.05,4.88,monthly,0,1
47,Female,6,72.73,3.51,monthly,2,1
38,Female,35,73.99,12.06,annual,0,0
55,Female,47,89.13,15.27,monthly,2,0
47,Male,22,73.5,6.57,monthly,1,0
37,Male,3,52.2,4.04,monthly,1,1
48,Female,43,72.17,1.29,monthly,4,1
64,Female,9,76.35,7.27,annual,2,0
37,Male,26,77.3,7.05,annual,2,0
25,Female,48,78.24,6.05,monthly,4,1
37,Male,36,95.79,8.66,monthly,0,0
58,Male,3,53.28,9.19,monthly,1,1
28,Female,40,78.51,8.97,monthly,2,0
63,Female,8,100.8,7.05,monthly,1,0
46,Female,36,40.31,4.7,monthly,0,1
46,Male,30,78.59,10.0,monthly,3,0
33,Female,14,63.29,8.04,quarterly,0,0
62,Female,21,67.59,10.67,monthly,0,0
19,Female,6,56.9,10.37,monthly,0,0
32,Male,48,71.61,3.73,monthly,3,1
38,Female,12,111.83,3.7,monthly,1,1
40,Female,15,49.71,5.73,monthly,2,0
40,Female,25,51.61,4.83,monthly,1,1
25,Male,33,48.96,10.27,monthly,3,1
28,Female,25,109.55,9.05,monthly,1,0
22,Male,25,65.75,11.3,quarterly,2,0
45,Male,28,74.49,9.19,annual,2,0
34,Female,42,66.94,8.63,monthly,0,0
45,Male,19,56.11,11.6,monthly,2,0
46,Female,40,70.3,9.41,quarterly,0,0
51,Male,38,124.16,8.2,quarterly,2,0
44,Female,47,102.84,12.44,monthly,0,0
49,Female,44,57.94,8.35,monthly,2,0
46,Female,39,87.95,7.09,monthly,1,0
49,Male,12,58.37,5.49,quarterly,0,0
47,Male,38,39.47,10.11,monthly,2,0
33,Male,36,95.39,11.71,monthly,1,0
29,Male,14,98.2,7.85,monthly,3,1
55,Female,33,95.92,11.92,monthly,2,0
34,Male,13,65.6,2.09,monthly,2,0
44,Male,26,71.66,7.83,quarterly,1,0
27,Male,39,90.0,7.88,monthly,1,1
38,Male,10,82.83,5.82,monthly,2,0
43,Female,17,67.13,15.15,monthly,2,0
48,Female,39,42.62,7.8,quarterly,1,0
43,Male,22,77.28,6.78,monthly,1,0
35,Female,47,96.58,8.08,monthly,1,0
64,Female,1,51.05,1.99,monthly,0,1
42,Male,35,87.78,5.72,quarterly,1,0
56,Male,40,81.63,10.95,quarterly,1,0
53,Male,45,90.0,6.11,annual,1,0
44,Male,8,92.44,5.51,quarterly,3,0
60,Male,48,61.11,11.93,monthly,1,0
24,Male,19,42.66,12.02,monthly,1,0
62,Female,17,64.33,9.55,monthly,0,0
58,Male,18,92.78,6.63,quarterly,3,0
42,Female,31,64.16,7.28,quarterly,0,0
53,Male,32,61.12,5.59,monthly,2,1
42,Male,23,38.57,5.02,annual,0,0
30,Female,4,110.05,4.87,monthly,0,1
56,Female,48,91.51,6.15,monthly,2,0
29,Female,11,90.4,4.9,monthly,0,1
33,Male,5,94.35,3.31,annual,1,1
42,Male,29,86.53,8.66,annual,1,0
58,Male,20,70.11,8.7,monthly,4,1
36,Male,30,71.72,13.1,annual,0,0
41,Female,43,66.45,5.99,annual,1,0
19,Male,5,127.69,8.89,quarterly,0,0
23,Male,14,86.12,8.94,annual,1,0
20,Female,25,65.72,7.24,monthly,0,1
21,Male,38,84.31,10.23,quarterly,3,0
59,Male,29,54.78,10.33,quarterly,0,0
58,Male,19,105.09,8.98,quarterly,0,0
57,Male,30,61.78,7.23,monthly,2,0
20,Female,48,85.02,6.93,quarterly,0,0
21,Female,24,96.32,3.9,annual,2,0
31,Female,43,82.7,5.58,monthly,4,1
45,Male,38,76.89,6.13,annual,3,0
34,Female,15,75.22,4.63,monthly,1,1
41,Female,12,73.87,9.32,monthly,5,1
26,Male,37,63.47,11.59,monthly,3,0
53,Female,10,66.01,5.28,quarterly,3,0
33,Male,17,104.59,8.85,quarterly,0,0
21,Female,12,72.83,4.9,monthly,1,1
53,Female,30,59.28,7.09,quarterly,1,0
61,Male,15,64.67,5.93,monthly,1,0
18,Male,32,97.01,9.81,monthly,0,0
38,Male,45,88.51,5.96,annual,1,0
57,Female,40,86.21,11.03,quarterly,0,0
51,Male,46,69.85,7.26,quarterly,0,0
59,Female,2,86.47,6.05,quarterly,0,0
37,Male,22,62.13,4.24,annual,1,0
35,Male,11,69.81,8.76,monthly,2,0
52,Female,45,94.4,10.69,monthly,1,0
25,Female,35,92.49,8.82,monthly,2,0
29,Female,16,55.36,14.72,quarterly,4,0
46,Male,28,57.89,12.29,quarterly,2,0
50,Male,30,77.17,7.08,quarterly,1,0
23,Male,24,109.52,7.05,monthly,1,1
42,Female,23,36.69,9.41,monthly,1,0
35,Female,3,80.57,5.49,quarterly,1,0
42,Male,22,47.48,11.5,annual,3,0
64,Female,17,62.31,9.08,monthly,0,0
21,Male,40,67.71,8.77,monthly,1,1
65,Female,42,66.59,10.06,monthly,1,0
39,Female,37,64.32,13.17,monthly,5,1
55,Female,2,75.14,8.51,monthly,5,1
38,Male,41,64.29,7.66,monthly,6,1
32,Female,20,45.75,12.53,quarterly,1,0
54,Male,20,90.6,10.9,monthly,1,0
51,Female,46,90.06,7.04,monthly,1,0
24,Male,42,91.86,8.02,monthly,3,1
51,Female,3,44.19,8.59,annual,0,0
54,Male,18,80.98,9.09,monthly,3,1
36,Male,36,88.52,3.93,monthly,4,1
62,Female,26,54.38,3.37,monthly,1,1
48,Female,13,75.18,5.34,quarterly,0,0
34,Male,26,72.67,5.11,annual,2,0
18,Female,42,111.84,6.07,monthly,1,0
50,Male,11,113.49,9.9,monthly,2,0
28,Male,36,41.71,7.49,monthly,0,0
54,Male,36,124.88,8.59,quarterly,1,0
43,Male,43,56.7,4.33,annual,3,1
40,Male,15,94.61,6.62,monthly,1,0
25,Male,11,94.41,9.76,monthly,1,0
52,Male,27,55.09,9.78,quarterly,2,0
25,Male,26,84.87,5.83,quarterly,0,0
38,Male,20,72.85,8.48,monthly,1,0
58,Female,38,86.09,14.6,monthly,2,0
62,Female,39,79.61,7.95,monthly,1,0
65,Male,12,98.93,5.92,quarterly,4,0
63,Male,39,76.51,7.48,quarterly,5,0
44,Female,12,71.64,8.28,quarterly,1,0
27,Female,20,96.92,7.55,quarterly,2,0
58,Female,2,86.61,7.91,monthly,3,1
56,Female,17,89.64,3.67,monthly,0,1
65,Female,47,61.71,5.11,monthly,1,0
49,Female,22,54.09,7.55,annual,2,0
24,Male,35,63.65,7.5,quarterly,0,0
42,Male,6,62.58,6.3,monthly,2,0
39,Male,31,90.72,7.47,monthly,0,0
58,Male,18,94.52,8.18,quarterly,0,0
36,Female,36,71.9,10.67,quarterly,2,0
33,Female,45,103.62,7.7,quarterly,1,0
21,Female,26,102.37,9.2,monthly,1,0
58,Male,5,79.87,6.38,annual,2,0
54,Male,23,58.56,9.72,quarterly,1,0
19,Male,6,106.51,9.13,quarterly,1,0
38,Female,22,73.78,10.6,quarterly,2,0
41,Male,3,77.52,10.14,annual,1,1
40,Male,31,68.21,9.77,annual,1,0
62,Female,15,57.2,7.7,quarterly,1,0
25,Female,10,45.63,8.73,monthly,0,0
32,Female,1,87.66,11.19,monthly,3,1
26,Male,43,59.33,6.04,quarterly,1,0
29,Male,41,136.19,6.11,quarterly,2,0
61,Male,39,53.28,8.54,monthly,1,0
63,Male,3,49.85,9.25,monthly,1,1
20,Female,17,85.2,5.53,annual,2,0
48,Male,47,105.59,7.78,annual,2,0
29,Male,28,76.29,7.72,annual,2,0
27,Female,7,86.44,1.35,monthly,2,1
32,Male,7,38.13,7.34,quarterly,2,0
27,Male,13,61.45,7.53,quarterly,4,0
41,Male,47,53.53,7.52,monthly,1,1
65,Male,9,37.1,12.25,monthly,0,0
46,Male,44,77.34,4.35,annual,2,0
52,Female,33,30.14,5.53,monthly,1,0
41,Female,45,48.56,0.16,quarterly,1,0
18,Male,40,64.26,6.56,quarterly,1,0
22,Male,16,58.37,6.81,quarterly,0,0
30,Male,40,82.93,6.47,monthly,1,0
29,Female,9,81.11,11.32,quarterly,2,0
58,Female,14,92.88,10.58,monthly,4,1
58,Female,11,90.05,8.23,quarterly,0,0
58,Male,7,97.82,6.89,monthly,1,1
48,Male,5,74.96,11.08,quarterly,1,0
44,Male,9,81.07,7.94,quarterly,0,0
49,Male,6,85.23,5.55,monthly,2,0
37,Male,19,77.83,2.85,monthly,1,1
50,Female,4,67.06,6.68,quarterly,3,0
56,Male,3,68.35,10.26,monthly,1,0
54,Female,48,58.65,14.83,monthly,3,1
47,Female,5,83.43,8.18,monthly,1,0
20,Female,4,73.12,5.7,annual,2,0
52,Male,2,61.74,4.45,quarterly,2,1
35,Female,7,61.76,9.66,monthly,2,0
53,Male,26,50.79,2.71,annual,2,0
43,Male,40,94.58,9.65,monthly,4,1
60,Male,36,76.57,10.45,monthly,1,0
34,Male,28,57.74,9.31,monthly,0,0
62,Female,5,91.17,7.34,monthly,2,1
58,Female,38,63.79,9.69,monthly,1,0
33,Female,2,46.87,8.51,quarterly,1,0
41,Male,31,95.42,5.67,monthly,4,0
43,Male,20,64.26,13.55,quarterly,1,0
54,Female,43,66.82,6.94,monthly,0,0
51,Male,15,75.82,10.33,monthly,2,1
58,Female,31,97.85,0.74,monthly,2,1
35,Female,22,75.4,11.83,quarterly,2,0
42,Female,26,51.02,12.41,quarterly,0,0
38,Female,46,85.88,8.09,monthly,1,0
61,Male,35,65.3,9.68,monthly,2,0
32,Male,20,112.76,9.68,monthly,0,0
46,Male,22,74.98,6.07,quarterly,3,0
23,Male,34,30.3,9.64,monthly,3,1
58,Male,17,82.15,5.57,quarterly,0,0
36,Female,9,113.89,6.17,monthly,4,1
34,Male,23,106.52,11.38,monthly,0,0
45,Female,4,111.62,10.92,quarterly,0,0
41,Female,9,54.6,5.88,monthly,1,0
58,Female,21,93.24,5.8,monthly,1,0
43,Male,39,60.56,6.06,annual,3,0
42,Female,38,79.49,10.2,monthly,1,0
23,Male,13,49.54,5.0,monthly,2,0
19,Male,21,62.11,9.07,monthly,0,0
37,Male,8,61.48,10.24,monthly,5,1
65,Male,37,92.97,7.74,quarterly,2,0
62,Male,12,91.01,11.03,monthly,0,0
48,Male,39,80.54,7.09,annual,2,0
48,Female,41,47.99,7.36,quarterly,1,0
36,Male,34,68.77,5.07,annual,2,0
26,Male,16,60.08,11.05,quarterly,2,0
18,Female,46,92.39,5.7,annual,1,0
34,Female,33,98.56,9.05,quarterly,0,0
33,Female,32,96.13,7.79,monthly,2,1
27,Male,42,59.9,4.84,monthly,1,1
30,Female,43,20.21,6.17,quarterly,2,0
19,Female,4,39.66,12.15,monthly,2,0
47,Male,43,103.43,8.6,quarterly,1,0
62,Male,37,66.97,4.97,monthly,1,1
51,Female,10,59.99,8.92,quarterly,1,0
39,Male,15,107.85,7.56,monthly,2,0
38,Male,37,100.3,18.36,annual,2,0
32,Female,11,75.49,8.86,monthly,3,1
24,Female,22,69.13,6.86,monthly,1,0
46,Female,34,72.36,12.26,quarterly,3,0
45,Female,32,79.54,2.48,quarterly,1,0
18,Female,44,107.0,8.28,quarterly,1,0
37,Male,6,83.45,13.98,annual,2,0
31,Male,15,89.52,7.65,monthly,3,0
26,Female,48,98.39,2.8,quarterly,0,0
51,Male,28,51.61,6.81,monthly,1,0
43,Male,12,90.1,12.36,monthly,1,0
48,Female,14,69.11,9.13,monthly,2,0
52,Female,17,24.68,5.48,monthly,2,0
65,Male,27,32.44,5.94,quarterly,2,0
56,Male,14,54.64,6.32,quarterly,3,0
47,Female,30,85.62,9.08,monthly,0,0
